stock_company,stock_item,code,market,recommended_date,recommended_price,prev_close,devidend_rate,reference
한국투자,지아이이노베이션,-358570,KOSDAQ 종합,2023.5.8,"22,000","22,900",4.09%,추천종목
한국투자,KB금융,-105560,KOSPI 종합,2023.5.2,"49,500","48,000",-3.03%,추천종목
하나증권,삼성화재,-810,KOSPI 종합,2023.5.2,"225,000","225,500",0.22%,중장기 투자유망종목
삼성,하이브,-352820,KOSPI 종합,2023.5.2,"270,000","274,000",1.48%,추천종목
삼성,클래시스,-214150,KOSDAQ 종합,2023.5.2,"23,700","26,100",10.13%,추천종목
KB,한국전자금융,-63570,KOSDAQ 종합,2023.4.25,"5,270","5,820",10.44%,중소형주
유안타,셀트리온,-68270,KOSPI 종합,2023.4.25,"166,500","171,300",2.88%,대형주
유안타,기아,-270,KOSPI 종합,2023.4.25,"84,700","85,900",1.42%,대형주
유안타,엘오티베큠,-83310,KOSDAQ 종합,2023.4.25,"14,200","16,720",17.75%,중소형주
하나증권,KB금융,-105560,KOSPI 종합,2023.4.24,"50,100","48,000",-4.19%,중장기 투자유망종목
하나증권,케이피에스,-256940,KOSDAQ 종합,2023.4.24,"10,350","10,210",-1.35%,중장기 투자유망종목
신한투자증권,감성코퍼레이션,-36620,KOSDAQ 종합,2023.4.21,"2,985","3,360",12.56%,중소형주
KB,켄코아에어로스페이스,-274090,KOSDAQ 종합,2023.4.19,"18,040","14,760",-18.18%,중소형주
한국투자,콘텐트리중앙,-36420,KOSPI 종합,2023.4.17,"22,850","22,450",-1.75%,추천종목
신한투자증권,HD현대인프라코어,-42670,KOSPI 종합,2023.4.14,"9,060","9,530",5.19%,중소형주
신한투자증권,데브시스터즈,-194480,KOSDAQ 종합,2023.4.14,"56,800","49,400",-13.03%,중소형주
하나증권,삼성전자,-5930,KOSPI 종합,2023.4.10,"65,000","71,400",9.85%,중장기 투자유망종목
한국투자,기아,-270,KOSPI 종합,2023.4.10,"80,100","85,900",7.24%,추천종목
삼성,기아,-270,KOSPI 종합,2023.4.3,"81,000","85,900",6.05%,추천종목
한국투자,한솔케미칼,-14680,KOSPI 종합,2023.4.3,"239,500","231,500",-3.34%,추천종목
신한투자증권,레이,-228670,KOSDAQ 종합,2023.4.3,"33,950","36,250",6.77%,중소형주
신한투자증권,켐트로닉스,-89010,KOSDAQ 종합,2023.4.3,"23,500","24,900",5.96%,중소형주
하나증권,기아,-270,KOSPI 종합,2023.4.3,"81,000","85,900",6.05%,중장기 투자유망종목
하나증권,LG전자,-66570,KOSPI 종합,2023.4.3,"115,300","122,800",6.50%,중장기 투자유망종목
하나증권,POSCO홀딩스,-5490,KOSPI 종합,2023.4.3,"368,000","360,000",-2.17%,중장기 투자유망종목
신한투자증권,하이비젼시스템,-126700,KOSDAQ 종합,2023.3.27,"18,220","20,450",12.24%,중소형주
유안타,넷마블,-251270,KOSPI 종합,2023.3.22,"62,400","55,900",-10.42%,대형주
유안타,유한양행,-100,KOSPI 종합,2023.3.22,"51,400","59,300",15.37%,대형주
유안타,엠씨넥스,-97520,KOSPI 종합,2023.3.22,"29,300","32,550",11.09%,중소형주
유안타,루닛,-328130,KOSDAQ 종합,2023.3.22,"42,750","83,800",96.02%,중소형주
유안타,인터로조,-119610,KOSDAQ 종합,2023.3.22,"29,250","34,700",18.63%,중소형주
유안타,웅진씽크빅,-95720,KOSPI 종합,2023.3.22,"2,920","3,020",3.42%,중소형주
신한투자증권,자화전자,-33240,KOSPI 종합,2023.3.17,"27,850","34,400",23.52%,중소형주
신한투자증권,KH바텍,-60720,KOSDAQ 종합,2023.3.17,"16,530","20,800",25.83%,중소형주
KB,KT서브마린,-60370,KOSDAQ 종합,2023.3.15,"6,150","7,090",15.28%,중소형주
신한투자증권,하나기술,-299030,KOSDAQ 종합,2023.3.7,"64,300","65,200",1.40%,중소형주
한국투자,삼성전자,-5930,KOSPI 종합,2023.2.27,"61,300","71,400",16.48%,추천종목
KB,넥스틴,-348210,KOSDAQ 종합,2023.2.16,"56,100","75,000",33.69%,중소형주
유안타,NAVER,-35420,KOSPI 종합,2023.2.13,"230,000","199,500",-13.26%,대형주
